What do you NOT need to do deep learning? (list 3 things)	<a href=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png><img src=https://storage.googleapis.com/aiquizzes/static/what_you_do_not_need.png></a><br><br><a href='https://aiquizzes.com/questions/1'>view answer on aiquizzes</a>
In Computer Vision, how are the dimensions of an image given? Does the first dimension correspond to width or height?	In Computer Vision, they do it the other way around to <code>numpy</code> and <code>pytorch</code>. The first dimension is width and the second height (where in numpy we have rows by columns). Hence Full HD is 1920x1080, but the screens are wider than they are tall. <a href=https://storage.googleapis.com/aiquizzes/static/cv_image_dim.png><img src=https://storage.googleapis.com/aiquizzes/static/cv_image_dim.png></a><br><br><br><a href='https://aiquizzes.com/questions/62'>view answer on aiquizzes</a>
In Deep Learning, what can a matrix lookup be replaced with?	A matrix lookup is an operation in which we retrieve a row or multiple rows from a matrix. Such lookup can be performed by simply indexing into the matrix. All modern Deep Learning frameworks support this operation but that has not always been the case.<br><br>Say we have a number of entities - we can represent each as a one hot encoded vector. When we pass such a representation to our model, it can look up relevant rows of data by performing matrix multiplication with one hot encoded vectors! By representing our entities not with indices, but as one hot encoded vectors, we transform matrix lookup into an operation that can be performed using a mathematical operation!<br><br>Understanding that these two ways of performing lookup are equivalent (with lookup by index being more computationally efficient) is essential - it will form the basis for figuring out what embeddings are and how they work. <a href=https://storage.googleapis.com/aiquizzes/static/matrix_lookup.png><img src=https://storage.googleapis.com/aiquizzes/static/matrix_lookup.png></a><br><br><br><a href='https://aiquizzes.com/questions/63'>view answer on aiquizzes</a>
Doing a matrix lookup through multiplication with one hot encoded vectors is computationally expensive. What is the name of a computational shortcut?	Embeddings and an Embedding layer! There is nothing special about this - we preserve the ability to backpropagate error to modify embeddings relevant to an example, but the operation is implemented in a more efficent manner than performing matrix multiplication with one hot encoded vectors.<br><br><a href='https://aiquizzes.com/questions/64'>view answer on aiquizzes</a>
How does L2 regularization (weight decay) work?	<p>Regularization reduces the capacity of a model. This makes it less likely that a model will overfit.</p> <p>The capacity of a model is how much space it has to find answers - if it can find any answer anywhere, those answers can include memorizing the dataset. One way to handle this would be to decrease the number of parameters or simplify the architecture in some other way, but generally speaking (especially in the deep learning context) this ends up biasing the model towards very simple shapes.</p><p> There is a better way to do this. Rather than arbitrarily reducing the number of parameters, we instead try to force the parameters to be smaller unless they are really required to be big. </p> <p> We achieve this by adding the sum of all the parameters squared to our loss. </p> <a href=https://storage.googleapis.com/aiquizzes/static/l2_reg.png><img src=https://storage.googleapis.com/aiquizzes/static/l2_reg.png></a><br><br><br><a href='https://aiquizzes.com/questions/65'>view answer on aiquizzes</a>
You are using the sigmoid trick and the highest value you want your model to be able to predict is 5. What max value do you need to set? (in fastai, the name of the parameter passed to a function that enables this is <code>y_range</code>).	It&#39;s impossible for a sigmoid to get all the way to the top or all the way to the bottom due to its asymptotic nature, no matter how big the x is. If you want to be actually able to predict a value of five then you need to use something higher than 5 as your maximum.<br><br><a href='https://aiquizzes.com/questions/66'>view answer on aiquizzes</a>
You would like to train a Random Forest classifier on data that contains discreet values that have some order (for instance a column size with possible values of small, medium large). What is the name of such a variable? How do you convey this information to <code>pandas</code>?	These are ordinal variables. You can pass this information onto <code>pandas</code> by setting the column to be of type <code>category</code> and passing in the order. <a href=https://storage.googleapis.com/aiquizzes/static/categorical_variables.png><img src=https://storage.googleapis.com/aiquizzes/static/categorical_variables.png></a><br><br><br><a href='https://aiquizzes.com/questions/67'>view answer on aiquizzes</a>
A key technique to modern machine learning goes by the name of bagging. Who invented it? How does it work?	<p>It was invented in 1994 by Leo Breiman, a retired Berklee professor. The idea is to keep randomly choosing subsets of the training set and training models on them. We store them to use for prediction later. Having accumulated some amount of trained models, we run them on our data and take the mean of their predictions. The process in which we create each subset of a dataset to train on is called bootstrapping (in this sense, bagging is bootstrap aggregation).</p> <p>The reason this works so well, is that despite they models are not trained on the full dataset and are thus not as accurate as they could be, the errors they make are uncorrelated. That means that upon taking the average of the models, the errors cancel out (the average is zero) and we obtain a good result - better than should the prediction come from a single model.</p> <a href=https://storage.googleapis.com/aiquizzes/static/bagging.png><img src=https://storage.googleapis.com/aiquizzes/static/bagging.png></a><br><br><br><a href='https://aiquizzes.com/questions/68'>view answer on aiquizzes</a>
Does adding more predictors (trees) to Random Forest increase the risk of overfitting?	No! That is the beauty of this algorithm. It is extremely robust to overfitting - training more models on subsets of the training set and taking their mean does not lead to overfitting but generally delivers improved performance (beyond a certain point the gains become very small or cease alltogether). <a href=https://storage.googleapis.com/aiquizzes/static/random_forest_overfitting.png><img src=https://storage.googleapis.com/aiquizzes/static/random_forest_overfitting.png></a><br><br><br><a href='https://aiquizzes.com/questions/69'>view answer on aiquizzes</a>
What is a partial dependence plot?	It is a plot, constructed from a Random Forest classifier, that describes how a dependent variable varies as we alter one of the independent variables. It aims to hold all other things constant. For a description of how it is constructed please consult the referenced part of the lecture (essentially, we iteratively set the column of interest to all of its unique values, storing results across runs). <a href=https://storage.googleapis.com/aiquizzes/static/partial_dependence_plot.png><img src=https://storage.googleapis.com/aiquizzes/static/partial_dependence_plot.png></a><br><br><br><a href='https://aiquizzes.com/questions/70'>view answer on aiquizzes</a>
What is the extrapolation problem in the context of Random Forests?	Random Forest is just taking the average of predictions of a bunch of trees and the prediction of the tree is the average of the values in a leaf node (the averages are calculated based on values seen in the train set). Random Forests cannot extrapolate outside of the bounds of the data in the training set. This is a huge problem for things like time series prediction where there is an underlying trend. In a general sense, it is impossible for a Random Forest to extrapolate outside the types of data that it has seen. We need to make sure our validation set does not contain out of domain data. <a href=https://storage.googleapis.com/aiquizzes/static/rf_extrapolation.png><img src=https://storage.googleapis.com/aiquizzes/static/rf_extrapolation.png></a><br><br><br><a href='https://aiquizzes.com/questions/71'>view answer on aiquizzes</a>
In the context of a Random Forest, how to find out of domain data?	You can create a column <code>is<em>valid</code> which contains 0 for everything in the training set and 1 for everything in the validation set. These are the values we will want our model to predict. The remaining values across the train and validation set become our independent variables.<br><br>We train a Random Forest that strives to predict &quot;is this row from the validation set or the training set?&quot;. If the validation and training sets are from the same distribution, they are not different, than this Random Forest should have zero predictive power. If that is not the case then it means that our validation and training sets are different. To find out the source of that difference we can use feature importance. &lt;a href=<a href="https://storage.googleapis.com/aiquizzes/static/finding">https://storage.googleapis.com/aiquizzes/static/finding</a></em>OOD<em>data.png&gt;&lt;img src=<a href="https://storage.googleapis.com/aiquizzes/static/finding">https://storage.googleapis.com/aiquizzes/static/finding</a></em>OOD_data.png&gt;</a><br><br><br><a href='https://aiquizzes.com/questions/72'>view answer on aiquizzes</a>
What is boosting?	Boosting involves training a small model which underfits your dataset. You calculate predictions using the small model and then you subtract the predictions from the targets (these are the errors that your model is making, they are called <strong>residuals</strong>).<br<br>We then train another simple model, but this time we use the residuals as targets. And we do this over and over again, training a small model, improving the residuals, training another small model, and so on until we reach some stopping criteria (for tree learners, that could be the maximum number of trees). This leaves us with a bunch of models that we do not average, but which we sum. <a href=https://storage.googleapis.com/aiquizzes/static/boosting.png><img src=https://storage.googleapis.com/aiquizzes/static/boosting.png></a><br><br><br><a href='https://aiquizzes.com/questions/73'>view answer on aiquizzes</a>
Can embeddings learned by neural networks be useful to other types of models (i.e. Random Forests or KNN classifiers)?	Absolutely yes! <a href=https://storage.googleapis.com/aiquizzes/static/combining_embeddings_with_other_methods.png><img src=https://storage.googleapis.com/aiquizzes/static/combining_embeddings_with_other_methods.png></a><br><br><br><a href='https://aiquizzes.com/questions/74'>view answer on aiquizzes</a>
What is a language model?	A language model is a model where we try to predict the next word of a sentence. A pretrained model can be useful in a similar fashion to how we would use a pretrained Imagenet model - a pretrained model knows a lot about what sentences look like, it might know some things about the world as well. We can leverage all this in the context of our task, irregardless of how much data we have in our training set. <a href=https://storage.googleapis.com/aiquizzes/static/language_model.png><img src=https://storage.googleapis.com/aiquizzes/static/language_model.png></a><br><br><br><a href='https://aiquizzes.com/questions/75'>view answer on aiquizzes</a>
What are the three approaches to tokenization?	<ul> <li>word-based</li> <li>subword-based</li> <li>character-based</li> </ul> <a href=https://storage.googleapis.com/aiquizzes/static/tokenization.png><img src=https://storage.googleapis.com/aiquizzes/static/tokenization.png></a><br><br><br><a href='https://aiquizzes.com/questions/76'>view answer on aiquizzes</a>
For NLP, is it better to unfreeze many layers at once or gradually unfreeze layers, one by one?	Gradual unfreezing works better. <a href=https://storage.googleapis.com/aiquizzes/static/nlp_gradual_unfreezing.png><img src=https://storage.googleapis.com/aiquizzes/static/nlp_gradual_unfreezing.png></a><br><br><br><a href='https://aiquizzes.com/questions/77'>view answer on aiquizzes</a>
What is a stateful RNN?	It is an RNN that maintains state across batches.<br><br><a href='https://aiquizzes.com/questions/78'>view answer on aiquizzes</a>
What is activation regularization (AR)?	It as a type of regularization used for training RNNs. It is very similar to weight decay but rather than adding some multiplier times the sum of squares of the weights to the loss, we add some multiplier times the sum of squares of the activations. In other words, we are not trying to decrease the weights, but decrease total activations. <a href=https://storage.googleapis.com/aiquizzes/static/activation_regularization.png><img src=https://storage.googleapis.com/aiquizzes/static/activation_regularization.png></a><br><br><br><a href='https://aiquizzes.com/questions/79'>view answer on aiquizzes</a>
What is temporal activation regularization (TAR)?	It is a type of regularization used for training RNNs. It attempts to minimize the difference in activations between adjacent time steps. The idea is that each new word should not change the meaning too dramatically and this tries to model that (that is unless the decrease in loss would make it worth it!) <a href=https://storage.googleapis.com/aiquizzes/static/temporal_activation_regularization.png><img src=https://storage.googleapis.com/aiquizzes/static/temporal_activation_regularization.png></a><br><br><br><a href='https://aiquizzes.com/questions/80'>view answer on aiquizzes</a>
What is weight tying?	It is a technique where we set the input-to-hidden and hidden-to-output weights to be equal. They are the same object in memory, the same tensor, playing both roles. The hypothesis is that conceptually in a Language Model predicting the next word (converting activations to English words) and converting embeddings to activations are essentially the same operation, the model tasks that are fundamentally similar. It turns out that indeed tying the weights allows a model to train better. <a href=https://storage.googleapis.com/aiquizzes/static/weight_tying.png><img src=https://storage.googleapis.com/aiquizzes/static/weight_tying.png></a><br><br><br><a href='https://aiquizzes.com/questions/81'>view answer on aiquizzes</a>
